schemaname	table_name	n_live_tup
public	_legacy_applications_id_cleanup_20260324	9547
public	_legacy_profiles_database_cleanup_20260324	11084
public	_legacy_screenings_cleanup_20260324	11030
public	app_tokens	1
public	applications_id	10168
public	campaign_subscription	3451
public	campaign_trigger	4
public	candidate_skill_map	15250
public	client_department	39
public	client_master	21
public	difficulties	4
public	documents_master	5
public	documents_master_client_departments	143
public	jd_generator_history	2
public	locations	14
public	naukri_candidates	3692
public	naukri_folders	166
public	onboarding_events	200
public	openai_call_logs	2834
public	opening_skill_question	40
public	openings	358
public	openings_locations_openings	544
public	profiles_database	11457
public	questions	0
public	ranking_jobs	2
public	room_vendors	1
public	rooms	7
public	screener_assignments	8745
public	screeners_profile	83
public	screenings	11462
public	skill_level_master	4
public	skill_map	584
public	skill_master	634
public	skill_master_duplicate	633
public	skill_question	47
public	status_config	47
public	users	62
public	vendor_master	104
public	vendor_openings	325
